종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"425420","티에프이","2513","21506","18993","64179350","658823750","594644400"
"347700","스피어","4781","39617","34836","75827290","669637905","593810615"
"096530","씨젠","199","22262","22063","5276800","592931900","587655100"
"222040","코스맥스엔비티","320","76983","76663","2464245","585994765","583530520"
"005440","현대지에프홀딩스","11937","60600","48663","145715510","707379790","561664280"
"004170","신세계","7330","8359","1029","3387315000","3922481500","535166500"
"101490","에스앤에스텍","900","14056","13156","35903450","553509650","517606200"
"064960","SNT모티브","9","20431","20422","224150","512648250","512424100"
"006340","대원전선","45837","72430","26593","530382935","1003926115","473543180"
"005290","동진쎄미켐","10318","22057","11739","401342900","874867500","473524600"
"003650","미창석유","1","3410","3409","133100","469347500","469214400"
"194700","노바렉스","4629","41017","36388","59255300","522227485","462972185"
"098460","고영","25992","39750","13758","589935050","1029465100","439530050"
"112610","씨에스윈드","578","11309","10731","22240475","446471175","424230700"
"101160","월덱스","253","16344","16091","6532750","427175950","420643200"
"004990","롯데지주","183","17971","17788","4013225","417863950","413850725"
"171090","선익시스템","6196","11880","5684","352877525","754146850","401269325"
"006260","LS","3946","5162","1216","1030126250","1421325000","391198750"
"086900","메디톡스","0","5536","5536","0","389971600","389971600"
"000100","유한양행","229","5442","5213","16165450","401284300","385118850"
"389650","넥스트바이오메디컬","165","10657","10492","5215200","388637850","383422650"
"263750","펄어비스","59728","67359","7631","1956690700","2336874225","380183525"
"102710","이엔에프테크놀로지","1781","12248","10467","67024200","447094450","380070250"
"083650","비에이치아이","3064","12115","9051","130274850","508516825","378241975"
"0156T0","에이치엘지노믹스","0","31803","31803","0","369272810","369272810"
"051900","LG생활건강","3506","4930","1424","921171500","1285003500","363832000"
"126700","하이비젼시스템","8295","42636","34341","70300460","432743020","362442560"
"011780","금호석유화학","58","3199","3141","6638300","367089250","360450950"
"078340","컴투스","0","12427","12427","0","335185925","335185925"
"194480","데브시스터즈","2","18565","18563","33640","330203210","330169570"
"015760","한국전력","17493","26317","8824","589592150","916114825","326522675"
"103590","일진전기","9161","15564","6403","504039450","819936500","315897050"
"353810","이지바이오","0","53222","53222","0","309056480","309056480"
"000810","삼성화재","1644","2113","469","1011485500","1317600000","306114500"
"0117P0","피스피스스튜디오","8517","70480","61963","44885590","349993920","305108330"
"181710","NHN","1302","8753","7451","47520050","339961900","292441850"
"029530","신도리코","2060","9528","7468","83207975","369075100","285867125"
"111770","영원무역","1687","4860","3173","146814000","432374800","285560800"
"214180","헥토이노베이션","0","22500","22500","0","285098950","285098950"
"103140","풍산","1306","5621","4315","75417400","359699400","284282000"
"092870","엑시콘","0","21332","21332","0","266838750","266838750"
"029780","삼성카드","164","5473","5309","7783550","272630275","264846725"
"210980","SK디앤디","0","59107","59107","0","264267590","264267590"
"004490","세방전지","63","5009","4946","3034950","263684800","260649850"
"009450","경동나비엔","1168","5380","4212","70846400","330216300","259369900"
"462870","시프트업","18","8570","8552","541300","259347300","258806000"
"024110","기업은행","884","13268","12384","17995300","276516660","258521360"
"323410","카카오뱅크","15187","26363","11176","323588350","579304975","255716625"
"023590","다우기술","14","6647","6633","475150","253952725","253477575"
"005680","삼영전자","0","20166","20166","0","251850210","251850210"
"0039P0","매드업","3042","47946","44904","17216415","266394095","249177680"
"161890","한국콜마","45992","47697","1705","4550273100","4789355400","239082300"
"139480","이마트","719","3728","3009","56349250","294417300","238068050"
"086280","현대글로비스","12913","13993","1080","2611543450","2845675300","234131850"
"203650","드림시큐리티","30425","170000","139575","55154482","288597500","233443018"
"079370","제우스","1942","31336","29394","15834130","245041130","229207000"
"030000","제일기획","822","12894","12072","15396940","243647140","228250200"
"016880","웅진","14772","132651","117879","28161382","251646964","223485582"
"036460","한국가스공사","185","6561","6376","6240800","221355750","215114950"
"066620","국보디자인","0","9251","9251","0","211347850","211347850"
"318060","그래피","1343","13509","12166","22012900","228083205","206070305"
"088980","맥쿼리인프라","170","20808","20638","1691540","206781175","205089635"
"452280","한선엔지니어링","2142","22981","20839","19967560","220328740","200361180"
"012030","DB","53","142130","142077","71404","199590394","199518990"
"002790","아모레퍼시픽홀딩스","1866","9821","7955","46204100","240197725","193993625"
"123410","코리아에프티","0","39549","39549","0","193895950","193895950"
"036540","SFA반도체","1872","38151","36279","7440586","199502620","192062034"
"042520","한스바이오메드","50022","59834","9812","909051430","1096045760","186994330"
"375500","DL이앤씨","66","3174","3108","3745600","188258900","184513300"
"086450","동국제약","37321","47165","9844","640857720","825233140","184375420"
"011200","HMM","1290","10113","8823","25843950","206696695","180852745"
"348210","넥스틴","551","6442","5891","18570300","196626300","178056000"
"033100","제룡전기","8460","12929","4469","330979900","506740500","175760600"
"031430","신세계인터내셔날","218","16510","16292","2279360","171619500","169340140"
"290550","디케이티","765","10531","9766","15122260","182297170","167174910"
"082920","비츠로셀","4976","10636","5660","152421275","318556050","166134775"
"022100","포스코DX","334","8763","8429","6027990","166552550","160524560"
"120110","코오롱인더","2016","4708","2692","96598100","256654200","160056100"
"093050","LF","9","7058","7049","195100","158805050","158609950"
"377300","카카오페이","119","3818","3699","4908750","162647750","157739000"
"051910","LG화학","1939","2512","573","467234250","622937000","155702750"
"218410","RFHIC","400","4159","3759","18093000","171135450","153042450"
"041460","한국전자인증","0","46037","46037","0","152398150","152398150"
"013030","하이록코리아","4076","8900","4824","128364550","275006600","146642050"
"123330","제닉","47470","53143","5673","1190591725","1336551600","145959875"
"005950","이수화학","0","10790","10790","0","145472590","145472590"
"064760","티씨케이","2125","2847","722","361544500","506122750","144578250"
"122870","와이지엔터테인먼트","0","3489","3489","0","144446350","144446350"
"071970","HD현대마린엔진","12108","14321","2213","618529400","760425425","141896025"
"108380","대양전기공업","1743","11429","9686","25150540","166867080","141716540"
"302440","SK바이오사이언스","140","4365","4225","4707400","144392575","139685175"
"280360","롯데웰푸드","3","1347","1344","305000","139434100","139129100"
"140860","파크시스템스","1010","1459","449","232171250","370678500","138507250"
"244920","에이플러스에셋","83","12294","12211","927910","136141380","135213470"
"032640","LG유플러스","4939","14118","9179","71886810","206478880","134592070"
"466100","클로봇","0","5626","5626","0","134451775","134451775"
"035250","강원랜드","289","9057","8768","4147170","130169920","126022750"
"014830","유니드","213","2204","1991","12126500","137053400","124926900"
"035150","백산","297","13577","13280","2769160","127121410","124352250"
"003540","대신증권","12691","17941","5250","313764775","436025900","122261125"
"168360","펨트론","0","11879","11879","0","120336090","120336090"
"183300","코미코","2423","4070","1647","135809600","253904000","118094400"
"014620","성광벤드","802","4941","4139","20691000","137644575","116953575"
"047560","이스트소프트","0","15000","15000","0","115917870","115917870"
"000070","삼양홀딩스","3","2015","2012","168400","115127800","114959400"
"395400","SK리츠","78","20192","20114","429460","111425530","110996070"
"034310","NICE","250","8924","8674","3102120","113512250","110410130"
"039440","에스티아이","1292","5836","4544","24106310","132101900","107995590"
"472220","신영스팩10호","0","51116","51116","0","106676860","106676860"
"043370","피에이치에이","0","10457","10457","0","106191890","106191890"
"000850","화천기공","0","3365","3365","0","103993350","103993350"
"204620","글로벌텍스프리","0","24739","24739","0","103876235","103876235"
"011560","세보엠이씨","0","4751","4751","0","103670500","103670500"
"179290","엠아이텍","0","22919","22919","0","103560180","103560180"
"008490","서흥","4","5063","5059","79100","101393250","101314150"
"365550","ESR켄달스퀘어리츠","71","30163","30092","234567","100180066","99945499"
"006650","대한유화","33","1185","1152","2861300","101627100","98765800"
"161390","한국타이어앤테크놀로지","1089","2576","1487","74618350","173063800","98445450"
"307950","현대오토에버","657","917","260","238501500","336606000","98104500"
"060370","LS마린솔루션","474","3641","3167","13076450","107022550","93946100"
"331920","셀레믹스","0","8402","8402","0","92973380","92973380"
"005180","빙그레","2","1355","1353","134800","91867200","91732400"
"115180","큐리언트","0","5228","5228","0","87659345","87659345"
"252990","샘씨엔에스","22089","31032","8943","270316735","357849195","87532460"
"033640","네패스","3467","9133","5666","43281430","130546400","87264970"
"126720","수산인더스트리","2905","7009","4104","63660840","147569200","83908360"
"388210","씨엠티엑스","5285","6576","1291","358419850","441677900","83258050"
"001130","대한제분","3","7362","7359","32480","81922360","81889880"
"058650","세아홀딩스","3","673","670","345900","80641600","80295700"
"300720","한일시멘트","68","5881","5813","933570","81223820","80290250"
"419530","SAMG엔터","13002","16434","3432","350582625","430764500","80181875"
"138080","오이솔루션","397","5094","4697","5593285","84507620","78914335"
